id,SalePrice
1461,120672.26561926612
1462,155180.50944109863
1463,187563.4884276397
1464,194183.2080821977
1465,190544.19282042873
1466,172483.9042319587
1467,170703.68757772012
1468,166936.65903635987
1469,186744.683619289
1470,122932.08663990618
1471,203141.71266727068
1472,99238.11906040127
1473,97210.06550689787
1474,148465.86048125
1475,114868.55829486239
1476,369049.82200853876
1477,237086.71100911
1478,289612.91677403654
1479,264702.0225136048
1480,513792.73086916405
1481,316545.79062022973
1482,208897.63313907268
1483,176371.0641164582
1484,165087.54455681003
1485,185797.6396416972
1486,190958.98576235698
1487,333574.249204079
1488,230090.0654968964
1489,194673.2320871372
1490,230292.65627975037
1491,192462.6224164945
1492,88779.3068643238
1493,184012.44569327333
1494,289014.68549459585
1495,283623.20318562863
1496,233971.44674724466
1497,178204.14814072425
1498,168070.27850745944
1499,161210.8377243681
1500,157151.05061989135
1501,172969.99212826203
1502,154120.04385844604
1503,289306.943028346
1504,239321.2565010249
1505,222314.3083071605
1506,183420.72039973224
1507,245439.89333649425
1508,198522.9215732757
1509,161870.27778607028
1510,145741.9335443171
1511,150663.1629594619
1512,168938.30416600025
1513,141295.22056389597
1514,158492.75611948338
1515,189991.90105435587
1516,154498.43168682046
1517,161520.11834530262
1518,128163.92840704798
1519,210744.10624535367
1520,130193.2628704757
1521,134469.89153999498
1522,171708.2842280531
1523,112693.53432302359
1524,122481.7222412681
1525,123639.35354540544
1526,114842.98426022725
1527,103993.3663457514
1528,140413.66180507056
1529,150131.07480113368
1530,181948.16976340895
1531,108557.81280236591
1532,97162.20609571382
1533,147045.512129523
1534,124605.32868111362
1535,155243.11510640525
1536,112601.16645357416
1537,58830.31334048743
1538,157065.432309881
1539,177356.67519665664
1540,99410.78630393506
1541,144393.20667811704
1542,140727.62078416115
1543,202279.55494550322
1544,77395.7484789212
1545,113247.16438275411
1546,130736.21429754286
1547,135625.46082991883
1548,138969.7905658274
1549,118970.5520042088
1550,135394.37728617262
1551,112795.67011833745
1552,135362.67854515402
1553,147032.74690921
1554,119127.49609179048
1555,162733.26049064402
1556,87737.751804217
1557,105231.5379923322
1558,100801.89278931411
1559,71934.46728340564
1560,133428.3624913483
1561,127894.53196764545
1562,130476.36735538334
1563,123253.30050525663
1564,159922.43204854775
1565,154578.0613759524
1566,237100.68969133994
1567,71462.23667687389
1568,224566.2525304584
1569,133854.29253123587
1570,137339.66357016555
1571,121718.7797894968
1572,144079.16934904072
1573,244011.41487752472
1574,116016.84883796818
1575,228019.27458426217
1576,239544.47997971368
1577,183601.398394222
1578,143467.5084694069
1579,150538.92165139326
1580,196566.74860739658
1581,151510.17284627983
1582,127278.30354218674
1583,305247.0967974283
1584,222717.14046777828
1585,139524.25949102666
1586,68192.92061880058
1587,99293.67277533491
1588,152027.8927026311
1589,98378.52075169222
1590,132678.50646751607
1591,97699.23386952723
1592,117014.5537040974
1593,126793.0930667136
1594,121830.10303902032
1595,105018.33363000513
1596,233190.052421093
1597,189250.4380331584
1598,212412.20154104067
1599,166653.6565569194
1600,166877.2648215647
1601,62811.148467652965
1602,116325.40287781978
1603,76806.87637354922
1604,268912.0959713929
1605,248140.91148903302
1606,168245.539422354
1607,167174.31617689275
1608,218603.653495947
1609,181574.3545278034
1610,154197.8275940801
1611,143013.63295470717
1612,166653.17460378734
1613,163382.5072608496
1614,127893.1047305285
1615,95069.17878109585
1616,82410.61263586934
1617,97374.46170213904
1618,129292.94158096507
1619,140437.4813809458
1620,148711.9526085904
1621,145974.4832196152
1622,144450.18642971487
1623,279954.04498108383
1624,221839.91215141374
1625,121327.76082703604
1626,165825.24771631684
1627,194587.24416271385
1628,276283.7918346543
1629,175412.7733236466
1630,343492.30999467056
1631,217240.19890484304
1632,234281.2270361192
1633,170662.1371115828
1634,186646.52388460192
